Species,Torpidator,Deep.Hibernator,,,,,,,,
Allactaga_bullata,0,1,,,,,,Both,T,H
Anoura_caudifer,1,0,,,,,,,,
Artibeus_jamaicensis,1,0,,,,,,,,
Carollia_perspicillata,1,0,,,,,,,,
Craseonycteris_thonglongyai,1,0,,,,,,,,
Cricetomys_gambianus,1,0,,,,,,,,
Dipodomys_ordii,1,0,,,,,,,,
Eptesicus_fuscus,0,1,,,,,,,,
Erinaceus_europaeus,0,1,,,,,,,,
Glis_glis,1,1,,,,,,,,
Graphiurus_murinus,1,1,,,,,,,,
Hipposideros_galeritus,1,0,,,,,,,,
Ictidomys_tridecemlineatus,0,1,,,,,,,,
Jaculus_jaculus,1,0,,,,,,,,
Lasiurus_borealis,0,1,,,,,,,,
Marmota_marmota_marmota,0,1,,,,,,,,
Mesocricetus_auratus,1,1,,,,,,,,
Micronycteris_hirsuta,1,0,,,,,,,,
Miniopterus_natalensis,0,1,,,,,,,,
Miniopterus_schreibersii,0,1,,,,,,,,
Mus_musculus,1,0,,,,,,,,
Myotis_brandtii,0,1,,,,,,,,
Myotis_davidii,0,1,,,,,,,,
Myotis_lucifugus,0,1,,,,,,,,
Myotis_myotis,0,1,,,,,,,,
Perognathus_longimembris_pacificus,1,0,,,,,,,,
Peromyscus_maniculatus_bairdii,1,0,,,,,,,,
Pipistrellus_pipistrellus,0,1,,,,,,,,
Rhinolophus_sinicus,0,1,,,,,,,,
Spermophilus_dauricus,0,1,,,,,,,,
Tapirus_indicus,1,0,,,,,,,,
Zapus_hudsonius,0,1,,,,,,,,